date,order_value
2020-01-01,26101.54
2020-01-02,41814.4
2020-01-03,42642.98
2020-01-04,43074.03
2020-01-05,43641.16
2020-01-06,48930.3
2020-01-07,53586.38
2020-01-08,52948.729999999996
2020-01-09,52401.25
2020-01-10,43721.56
2020-01-11,53319.86
2020-01-12,63377.25
2020-01-13,51688.39
2020-01-14,49873.26
2020-01-15,52891.38
2020-01-16,52874.11
2020-01-17,40967.11
2020-01-18,43796.05
2020-01-19,53623.83
2020-01-20,48843.04
2020-01-21,50296.85
2020-01-22,47149.090000000004
2020-01-23,48609.22
2020-01-24,41909.41
2020-01-25,38107.5
2020-01-26,49753.53
2020-01-27,48196.98
2020-01-28,47196.2
2020-01-29,42053.42
2020-01-30,45395.17
2020-01-31,41779.09
2020-02-01,40896.84
2020-02-02,54660.51
2020-02-03,57168.6
2020-02-04,46682.6
2020-02-05,48499.74
2020-02-06,38587.16
2020-02-07,35728.22
2020-02-08,37550.45
2020-02-09,47776.36
2020-02-10,49601.89
2020-02-11,49554.99
2020-02-12,41618.34
2020-02-13,38148.1
2020-02-14,36166.3
2020-02-15,35816.58
2020-02-16,46611.29
2020-02-17,52124.5
2020-02-18,54517.71
2020-02-19,50141.34
2020-02-20,41460.96
2020-02-21,36916.159999999996
2020-02-22,36740.74
2020-02-23,45991.61
2020-02-24,53732.68
2020-02-25,47648.94
2020-02-26,45149.07
2020-02-27,40325.2
2020-02-28,38599.17
2020-02-29,43049.51
2020-03-01,53810.76
2020-03-02,57438.78
2020-03-03,58290.79
2020-03-04,48923.05
2020-03-05,53831.3
2020-03-06,43247.45
2020-03-07,44182.02
2020-03-08,58155.75
2020-03-09,56965.49
2020-03-10,50058.85
2020-03-11,47394.61
2020-03-12,38006.67
2020-03-13,33462.75
2020-03-14,29402.8
2020-03-15,30949.71
2020-03-16,28819.350000000002
2020-03-17,30725.04
2020-03-18,26224.850000000002
2020-03-19,28045.33
2020-03-20,25853.02
2020-03-21,24394.0
2020-03-22,26648.02
2020-03-23,28966.64
2020-03-24,29877.7
2020-03-25,31886.39
2020-03-26,31902.57
2020-03-27,27613.23
2020-03-28,31949.39
2020-03-29,48852.61
2020-03-30,43676.29
2020-03-31,40968.68
2020-04-01,39417.4
2020-04-02,44506.7
2020-04-03,41250.93
2020-04-04,36931.59
2020-04-05,52489.83
2020-04-06,52576.77
2020-04-07,47482.48
2020-04-08,44598.97
2020-04-09,48660.57
2020-04-10,47359.54
2020-04-11,41366.98
2020-04-12,44815.76
2020-04-13,55815.7
2020-04-14,57351.37
2020-04-15,54416.049999999996
2020-04-16,49798.3
2020-04-17,43882.07
2020-04-18,41565.19
2020-04-19,60880.69
2020-04-20,53524.85
2020-04-21,50165.54
2020-04-22,52373.83
2020-04-23,47169.759999999995
2020-04-24,43723.44
2020-04-25,40271.73
2020-04-26,57874.17
2020-04-27,57311.340000000004
2020-04-28,53719.36
2020-04-29,54306.24
2020-04-30,47826.75
2020-05-01,49003.92
2020-05-02,47045.19
2020-05-03,54997.14
2020-05-04,60046.07
2020-05-05,63218.79
2020-05-06,62455.19
2020-05-07,52146.439999999995
2020-05-08,43696.99
2020-05-09,45758.22
2020-05-10,60840.42
2020-05-11,63719.13
2020-05-12,65614.0
2020-05-13,64299.54
2020-05-14,62282.19
2020-05-15,60910.45
2020-05-16,48294.200000000004
2020-05-17,62285.68
2020-05-18,65827.37
2020-05-19,62351.85
2020-05-20,55869.83
2020-05-21,59747.840000000004
2020-05-22,52751.41
2020-05-23,56555.36
2020-05-24,63534.3
2020-05-25,62334.97
2020-05-26,56643.34
2020-05-27,56803.77
2020-05-28,57512.8
2020-05-29,45599.15
2020-05-30,40637.97
2020-05-31,56382.21
2020-06-01,58657.81
2020-06-02,130019.97
2020-06-03,63649.0
2020-06-04,68180.95999999999
2020-06-05,58570.87
2020-06-06,47500.82
2020-06-07,66923.6
2020-06-08,70538.05
2020-06-09,57614.13
2020-06-10,59852.74
2020-06-11,52793.49
2020-06-12,43879.76
2020-06-13,38303.71
2020-06-14,45165.35
2020-06-15,54197.58
2020-06-16,50508.35
2020-06-17,52291.93
2020-06-18,46104.0
2020-06-19,39990.0
2020-06-20,35420.24
2020-06-21,40895.93
2020-06-22,47840.31
2020-06-23,50511.87
2020-06-24,43886.32
2020-06-25,40733.97
2020-06-26,35512.7
2020-06-27,38315.82
2020-06-28,39697.61
2020-06-29,56025.17
2020-06-30,47194.700000000004
2020-07-01,52095.64
2020-07-02,49886.37
2020-07-03,51410.98
2020-07-04,34197.45
2020-07-05,40891.67
2020-07-06,52452.62
2020-07-07,55767.34
2020-07-08,52246.64
2020-07-09,48500.64
2020-07-10,43627.22
2020-07-11,38548.85
2020-07-12,49028.25
2020-07-13,56891.17
2020-07-14,59047.21
2020-07-15,57633.64
2020-07-16,56846.71
2020-07-17,44366.01
2020-07-18,41868.52
2020-07-19,51483.03
2020-07-20,57939.44
2020-07-21,49153.86
2020-07-22,47824.11
2020-07-23,42074.23
2020-07-24,44490.6
2020-07-25,36666.81
2020-07-26,48473.33
2020-07-27,53629.369999999995
2020-07-28,54695.47
2020-07-29,49008.11
2020-07-30,48764.46
2020-07-31,41467.340000000004
2020-08-01,41639.59
2020-08-02,51669.79
2020-08-03,57167.56
2020-08-04,63014.05
2020-08-05,55810.46
2020-08-06,49642.64
2020-08-07,42634.96
2020-08-08,37549.04
2020-08-09,42788.88
2020-08-10,64877.28
2020-08-11,73598.95999999999
2020-08-12,71422.91
2020-08-13,56636.39
2020-08-14,43885.29
2020-08-15,42445.41
2020-08-16,52065.95
2020-08-17,68856.92
2020-08-18,59944.13
2020-08-19,68341.22
2020-08-20,55143.94
2020-08-21,43325.42
2020-08-22,39414.24
2020-08-23,54399.97
2020-08-24,60653.08
2020-08-25,62362.9
2020-08-26,63736.55
2020-08-27,58752.98
2020-08-28,57027.96
2020-08-29,46311.18
2020-08-30,65396.5
2020-08-31,72860.18000000001
2020-09-01,75897.02
2020-09-02,68768.06
2020-09-03,60932.31
2020-09-04,59595.86
2020-09-05,52508.72
2020-09-06,70377.38
2020-09-07,82923.8
2020-09-08,74152.49
2020-09-09,67244.22
2020-09-10,61351.92
2020-09-11,54407.22
2020-09-12,160408.55000000002
2020-09-13,79461.38
2020-09-14,83833.51
2020-09-15,73203.02
2020-09-16,69485.85
2020-09-17,73785.95999999999
2020-09-18,57533.55
2020-09-19,58522.43
2020-09-20,65913.7
2020-09-21,73712.71
2020-09-22,62132.86
2020-09-23,62211.65
2020-09-24,52672.34
2020-09-25,50524.48
2020-09-26,49393.770000000004
2020-09-27,63182.78
2020-09-28,76282.12
2020-09-29,58877.04
2020-09-30,56123.21
2020-10-01,54834.93
2020-10-02,55909.76
2020-10-03,49909.909999999996
2020-10-04,62921.24
2020-10-05,63591.21
2020-10-06,67416.24
2020-10-07,63158.47
2020-10-08,48092.09
2020-10-09,49289.32
2020-10-10,45403.55
2020-10-11,56997.97
2020-10-12,56348.12
2020-10-13,55459.03
2020-10-14,48211.53
2020-10-15,46697.54
2020-10-16,49585.77
2020-10-17,45367.35
2020-10-18,53085.979999999996
2020-10-19,54572.75
2020-10-20,51073.25
2020-10-21,51290.56
2020-10-22,61627.799999999996
2020-10-23,49608.3
2020-10-24,49723.1
2020-10-25,64336.05
2020-10-26,71245.75
2020-10-27,65730.97
2020-10-28,62833.84
2020-10-29,56709.46
2020-10-30,57429.64
2020-10-31,49956.02
2020-11-01,73768.01
2020-11-02,65353.240000000005
2020-11-03,64248.75
2020-11-04,71425.87
2020-11-05,60836.21
2020-11-06,87715.56
2020-11-07,62497.61
2020-11-08,82424.52
2020-11-09,77862.81999999999
2020-11-10,84521.17
2020-11-11,119288.16
2020-11-12,105476.46
2020-11-13,130225.84
2020-11-14,96798.26
2020-11-15,120890.20999999999
2020-11-16,127261.67
2020-11-17,122739.64
2020-11-18,107489.43000000001
2020-11-19,104587.55
2020-11-20,105057.57
2020-11-21,112199.34
2020-11-22,136583.67
2020-11-23,120729.69
2020-11-24,119098.86
2020-11-25,133039.72
2020-11-26,124828.58
2020-11-27,169692.44
2020-11-28,149526.13
2020-11-29,160787.12
2020-11-30,140339.5
2020-12-01,83140.35
2020-12-02,85470.7
2020-12-03,75517.48
2020-12-04,73472.18
2020-12-05,79723.0
2020-12-06,91364.27
2020-12-07,93866.02
2020-12-08,94553.96
2020-12-09,97258.75
2020-12-10,81951.48
2020-12-11,84088.18000000001
2020-12-12,74567.61
2020-12-13,87150.54
2020-12-14,91071.68
2020-12-15,89442.61
2020-12-16,79636.82
2020-12-17,69385.18
2020-12-18,59816.13
2020-12-19,55981.36
2020-12-20,56064.64
2020-12-21,54955.43
2020-12-22,55218.3
2020-12-23,48885.25
2020-12-24,41963.02
2020-12-25,64003.12
2020-12-26,68134.41
2020-12-27,74779.74
2020-12-28,96288.0
2020-12-29,94602.92
2020-12-30,67065.15
2020-12-31,43024.0
2021-01-01,51257.41
2021-01-02,72437.65
2021-01-03,77064.37
2021-01-04,85715.73
2021-01-05,79815.17
2021-01-06,82421.11
2021-01-07,92531.81999999999
2021-01-08,80648.63
2021-01-09,82458.96
2021-01-10,83845.26
2021-01-11,92618.25
2021-01-12,88012.09
2021-01-13,83356.46
2021-01-14,70735.6
2021-01-15,79612.26
2021-01-16,70579.1
2021-01-17,82644.1
2021-01-18,77656.67
2021-01-19,72201.73
2021-01-20,80747.17
2021-01-21,82175.77
2021-01-22,73021.3
2021-01-23,73580.52
2021-01-24,89203.58
2021-01-25,83554.75
2021-01-26,81245.65
2021-01-27,74504.59999999999
2021-01-28,96710.88
2021-01-29,100955.42
2021-01-30,74410.07
2021-01-31,96687.81
2021-02-01,95458.23
2021-02-02,85946.53
2021-02-03,90523.91
2021-02-04,87595.08
2021-02-05,88339.66
2021-02-06,92301.61
2021-02-07,108615.97
2021-02-08,93840.28
2021-02-09,89567.26000000001
2021-02-10,78934.98
2021-02-11,70834.39
2021-02-12,69681.99
2021-02-13,69167.5
2021-02-14,74982.82
2021-02-15,64434.84
2021-02-16,74892.2
2021-02-17,77029.17
2021-02-18,70867.04000000001
2021-02-19,77516.92
2021-02-20,83949.88
2021-02-21,118607.98999999999
2021-02-22,92045.94
2021-02-23,82284.9
2021-02-24,95122.01
2021-02-25,95389.48
2021-02-26,85935.73
2021-02-27,79190.27
2021-02-28,106753.47
2021-03-01,108843.36
2021-03-02,110646.28
2021-03-03,130946.01999999999
2021-03-04,100094.35
2021-03-05,89930.59
2021-03-06,94695.4
2021-03-07,122409.23
2021-03-08,105179.32
